date;topix_open;topix_max;topix_min;topix_close;topix_closed_ajusted;topix_volume;euro_open;euro_max;euro_min;euro_close;euro_closed_ajusted;euro_volume;sp500_open;sp500_max;sp500_min;sp500_close;sp500_closed_ajusted;sp500_volume;sse_open;sse_max;sse_min;sse_close;sse_closed_ajusted;sse_volume;nasdaq_open;nasdaq_max;nasdaq_min;nasdaq_close;nasdaq_closed_ajusted;nasdaq_volume
25/09/2020;1684.00;1686.00;1677.00;1683.00;1683.00;854850.00;944.55;944.55;944.55;944.55;944.55;227955300.00;3236.66;3306.88;3228.44;3298.46;3298.46;3792220000.00;3234.37;3239.47;3208.03;3219.42;3219.42;164800.00;10680.46;10939.55;10639.98;10913.56;10913.56;3767230000.00
28/09/2020;1697.00;1713.00;1689.00;1713.00;1713.00;2869880.00;958.47;967.08;954.97;965.71;965.71;231854800.00;3333.90;3360.74;3332.91;3351.60;3351.60;3946060000.00;3224.98;3238.18;3210.89;3217.53;3217.53;156000.00;11084.38;11120.79;11019.14;11117.53;11117.53;3562900000.00
29/09/2020;1715.00;1733.00;1710.00;1723.00;1723.00;1676940.00;964.55;965.40;958.35;962.19;962.19;190702500.00;3350.92;3357.92;3327.54;3335.47;3335.47;3651880000.00;3231.85;3242.79;3219.79;3224.36;3224.36;151300.00;11109.00;11153.23;11065.63;11085.25;11085.25;3363870000.00
30/09/2020;1716.00;1719.00;1685.00;1686.00;1686.00;2175630.00;956.49;967.13;954.66;958.98;958.98;251218400.00;3341.21;3393.56;3340.47;3363.00;3363.00;4722530000.00;3232.71;3244.91;3202.34;3218.05;3218.05;153500.00;11092.90;11277.96;11092.90;11167.51;11167.51;4228200000.00
01/10/2020;;;;;;;968.19;970.34;959.63;964.00;964.00;240958200.00;3385.87;3397.18;3361.39;3380.80;3380.80;4070530000.00;;;;;;;11291.99;11344.13;11240.53;11326.51;11326.51;3978100000.00
02/10/2020;1700.00;1702.00;1664.00;1671.00;1671.00;4056410.00;965.36;965.36;965.36;965.36;965.36;218677400.00;3338.94;3369.10;3323.69;3348.42;3348.42;3961550000.00;;;;;;;11082.53;11244.87;11033.69;11075.02;11075.02;3715090000.00
05/10/2020;1693.00;1706.00;1692.00;1699.00;1699.00;1370880.00;972.78;976.26;969.41;975.25;975.25;206576000.00;3367.27;3409.57;3367.27;3408.60;3408.60;3686920000.00;;;;;;;11169.11;11335.21;11162.52;11332.49;11332.49;3597940000.00
06/10/2020;1707.00;1711.00;1699.00;1708.00;1708.00;1475290.00;977.75;983.70;971.28;979.08;979.08;246671600.00;3408.74;3431.56;3354.54;3360.97;3360.97;4443380000.00;;;;;;;11314.53;11392.41;11124.45;11154.60;11154.60;4360550000.00
07/10/2020;1698.00;1711.00;1697.00;1710.00;1710.00;1499420.00;979.71;983.12;974.85;978.06;978.06;232229700.00;3384.56;3426.26;3384.56;3419.44;3419.44;3807830000.00;;;;;;;11271.68;11380.56;11258.35;11364.60;11364.60;3891460000.00
08/10/2020;1715.00;1724.00;1708.00;1719.00;1719.00;2662860.00;983.54;988.22;977.96;984.80;984.80;345539400.00;3434.28;3447.28;3428.15;3446.83;3446.83;3856190000.00;;;;;;;11443.35;11448.23;11384.33;11420.98;11420.98;3486530000.00
