bitcoin_close;bitcoin_open;bitcoin_max;bitcoin_min;bitcoin_volume;date
9,253.4;9,243.1;9,274.8;9,135.7;453.83K;14/07/2020
9,198.7;9,253.6;9,270.2;9,168.7;429.84K;15/07/2020
9,135.3;9,198.7;9,224.2;9,052.0;429.04K;16/07/2020
9,155.8;9,135.4;9,181.9;9,091.5;310.92K;17/07/2020
9,170.2;9,155.8;9,198.8;9,126.7;276.40K;18/07/2020
9,208.0;9,170.1;9,224.8;9,106.4;265.25K;19/07/2020
9,162.4;9,208.1;9,218.4;9,139.9;312.98K;20/07/2020
9,387.3;9,162.3;9,426.9;9,155.1;458.99K;21/07/2020
9,513.7;9,387.4;9,523.1;9,296.0;386.00K;22/07/2020
9,599.6;9,513.6;9,646.5;9,451.1;425.66K;23/07/2020
9,546.4;9,599.2;9,626.2;9,480.5;359.16K;24/07/2020
9,704.1;9,546.7;9,729.3;9,536.2;306.29K;25/07/2020
9,932.5;9,690.0;10,086.6;9,645.9;415.07K;26/07/2020
11,022.8;9,932.7;11,367.0;9,894.6;908.99K;27/07/2020
10,908.5;10,961.1;11,046.1;10,873.6;658.37K;28/07/2020
11,105.9;10,908.4;11,336.5;10,771.8;576.83K;29/07/2020
11,096.2;11,105.8;11,164.4;10,861.6;501.14K;30/07/2020
11,333.4;11,096.5;11,434.8;10,964.6;530.95K;31/07/2020
11,803.1;11,333.2;11,847.7;11,226.1;611.47K;01/08/2020
11,066.8;11,802.6;12,061.1;10,730.7;647.95K;02/08/2020
11,224.4;11,066.9;11,461.1;10,981.6;470.24K;03/08/2020
11,184.7;11,223.8;11,407.8;11,043.0;485.79K;04/08/2020
11,735.1;11,184.8;11,771.5;11,114.5;570.83K;05/08/2020
11,757.1;11,735.0;11,898.4;11,563.0;554.85K;06/08/2020
11,592.0;11,757.1;11,901.8;11,352.4;517.00K;07/08/2020
11,764.3;11,591.6;11,805.5;11,533.5;317.06K;08/08/2020
11,681.2;11,764.4;11,792.8;11,527.5;303.00K;09/08/2020
11,889.2;11,681.1;12,041.1;11,546.9;564.11K;10/08/2020
11,390.4;11,889.2;11,931.8;11,146.7;615.90K;11/08/2020
11,557.2;11,390.4;11,605.4;11,190.6;549.59K;12/08/2020
11,770.9;11,557.2;11,772.9;11,298.4;545.67K;13/08/2020
11,750.8;11,771.1;11,835.5;11,651.5;435.44K;14/08/2020
11,845.3;11,751.1;11,964.0;11,711.5;499.10K;15/08/2020
11,899.0;11,845.5;11,922.5;11,688.9;410.81K;16/08/2020
12,282.6;11,898.8;12,444.1;11,764.0;628.41K;17/08/2020
11,947.6;12,283.0;12,381.4;11,842.0;606.79K;18/08/2020
11,750.2;11,944.4;12,013.2;11,602.6;550.26K;19/08/2020
11,856.9;11,751.0;11,881.0;11,672.7;430.93K;20/08/2020
11,529.2;11,856.9;11,877.4;11,495.6;506.38K;21/08/2020
11,661.3;11,529.2;11,677.0;11,382.1;433.98K;22/08/2020
11,641.6;11,661.1;11,705.4;11,520.8;377.33K;23/08/2020
11,753.5;11,641.6;11,824.6;11,587.1;429.13K;24/08/2020
11,324.8;11,752.9;11,766.9;11,131.0;594.07K;25/08/2020
11,462.3;11,324.9;11,533.6;11,254.6;513.06K;26/08/2020
11,327.4;11,462.3;11,580.3;11,135.3;560.59K;27/08/2020
11,527.4;11,327.5;11,539.0;11,281.9;464.94K;28/08/2020
11,468.1;11,527.8;11,576.8;11,433.5;389.85K;29/08/2020
11,702.0;11,468.1;11,704.2;11,462.6;409.36K;30/08/2020
11,644.2;11,701.1;11,760.2;11,563.8;496.14K;31/08/2020
11,914.9;11,644.2;12,045.9;11,544.6;580.69K;01/09/2020
11,413.3;11,914.4;11,947.5;11,244.9;20.26M;02/09/2020
10,168.8;11,413.2;11,442.7;10,009.5;9.65M;03/09/2020
10,472.5;10,168.7;10,614.2;9,960.3;12.50M;04/09/2020
10,092.2;10,472.3;10,558.7;9,897.8;14.72M;05/09/2020
10,296.4;10,092.2;10,337.7;10,004.7;12.12M;06/09/2020
10,376.9;10,296.4;10,400.9;9,887.0;12.40M;07/09/2020
10,126.6;10,376.9;10,434.4;9,877.1;113.90K;08/09/2020
10,224.6;10,126.8;10,343.3;9,984.6;71.37K;09/09/2020
10,339.7;10,224.3;10,480.3;10,219.2;88.01K;10/09/2020
10,390.2;10,339.8;10,398.8;10,212.6;62.28K;11/09/2020
10,441.9;10,390.2;10,476.8;10,275.9;48.49K;12/09/2020
10,326.0;10,441.7;10,579.6;10,219.4;66.12K;13/09/2020
10,675.3;10,332.7;10,744.3;10,264.5;96.64K;14/09/2020
10,785.3;10,675.2;10,931.8;10,627.8;91.70K;15/09/2020
10,949.5;10,785.2;11,093.3;10,669.2;94.94K;16/09/2020
10,941.3;10,950.1;11,039.3;10,755.2;77.22K;17/09/2020
10,933.0;10,941.3;11,029.7;10,818.7;63.48K;18/09/2020
11,081.8;10,933.0;11,177.1;10,890.7;51.63K;19/09/2020
10,921.5;11,081.6;11,081.6;10,772.7;53.39K;20/09/2020
10,416.8;10,919.9;10,987.2;10,328.5;109.85K;21/09/2020
10,531.5;10,419.4;10,570.7;10,361.7;63.52K;22/09/2020
10,237.3;10,531.5;10,535.4;10,146.6;74.95K;23/09/2020
10,739.4;10,238.1;10,787.8;10,201.0;82.95K;24/09/2020
10,688.8;10,739.9;10,756.0;10,558.9;71.43K;25/09/2020
10,727.9;10,688.9;10,793.3;10,650.2;37.85K;26/09/2020
10,776.2;10,727.9;10,799.2;10,602.7;40.92K;27/09/2020
10,693.2;10,776.4;10,946.6;10,685.2;72.29K;28/09/2020
10,840.9;10,694.3;10,858.4;10,642.4;59.64K;29/09/2020
10,776.1;10,843.4;10,847.7;10,667.6;55.55K;30/09/2020
10,620.5;10,776.6;10,913.7;10,462.7;95.33K;01/10/2020
10,572.3;10,619.6;10,662.9;10,387.6;77.94K;02/10/2020
